Date,Competition,Time(GMT+2), Home-Team, Score, Away-Team
 18-04-2022 ,Azerbaidjan : Birinci Dasta,14:00, Neftchi II, 3 - 0, Turan Tovuz
 18-04-2022 ,Bahrein : Second Division,20:30, Qalali, 2 - 3, Isa Town
 18-04-2022 ,Belarus : Reserve League,14:00, Vitebsk Res., 0 - 1, Slavia Res.
 18-04-2022 ,Bolivie : Primera Division,01:30, Oriente Petrolero, 1 - 1, The Strongest
 18-04-2022 ,Botswana : Premier League,15:30, Botswana Defence Force, 1 - 2, Galaxy
 18-04-2022 ,Bulgarie : A PFG,16:30, OFK Pirin, 0 - 2, Tsarsko selo
 18-04-2022 ,Bulgarie : B PFG,16:00, Ludogorets II, 1 - 2, Lovech
 18-04-2022 ,Chili : 1ere Division,00:00, Colo Colo, 2 - 1, Cobresal
 18-04-2022 ,Chili : Primera B,02:30, San Luis, 2 - 1, Melipilla
 18-04-2022 ,Chypre : 1ere Division,18:00, AEK Larnaca , 1 - 0, Anorthosis
 18-04-2022 ,Colombie : Premiere A,01:10, America de Cali, 1 - 1, Deportivo Cali
 18-04-2022 ,Colombie : Premiere B,22:00, Leones, 3 - 1, Orsomarso
 18-04-2022 ,Colombie : Liga Femenina,21:00, La Equidad, 3 - 1, Fortaleza
 18-04-2022 ,Congo : Ligue 1,16:00, Etoile du Congo, 4 - 0, Nathaly's
 18-04-2022 ,Coree du Sud : K League Challenge,12:00, Anyang, 2 - 2, Gwangju
 18-04-2022 ,Costa Rica : 1ere Division,00:00, Herediano, 3 - 0, Santos de Gu\u00e1piles
 18-04-2022 ,Croatie : 1ere Ligue,18:00, Rijeka, 0 - 4, Dinamo Maksimir
 18-04-2022 ,Danemark : Superligaen,14:00, Su8nderjyskE, 2 - 1, AGF
 18-04-2022 ,Danemark : 1ere Division,12:00, Hvidovre, 2 - 0, LFA
 18-04-2022 ,Danemark : 2eme Division,13:00, AB, 3 - 0, Hilleru8d
 18-04-2022 ,Danemark : Denmarksserien,13:00, ASA Aarhus, 0 - 1, Holstebro
 18-04-2022 ,Danemark : 3. Division,12:00, Karlslunde, 4 - 0, KFUM Roskilde
 18-04-2022 ,Danemark : Reserve League,13:00, Horsens Res., 1 - 2, Vejle Res.
 18-04-2022 ,Danemark : U19 Ligaen,13:00, Su8nderjyskE U19, 2 - 3, Lyngby U19
 18-04-2022 ,Danemark : Elitedivisionen,13:00, Fortuna Hju8rring, 1 - 6, Ku8ge
 18-04-2022 ,Egypte : Premier League,21:30, El Sharqia Dokhan, 0 - 2, Ismaily
 18-04-2022 ,Equateur : Premiere A,01:00, LDU Quito, 2 - 0, Barcelona
 18-04-2022 ,Estonie : Esiliiga,18:00, P\u00e4rnu, 0 - 0, Flora II
 18-04-2022 ,Estonie : Esiliiga B,18:00, Tartu Kalev, 2 - 1, Tammeka II
 18-04-2022 ,Ethiopie : Premier League,14:00, Dire Dawa Kenema, 2 - 1, Jimma Aba Jifar
 18-04-2022 ,Finlande : Veikkausliiga,17:00, HIFK, 0 - 3, Lahti
 18-04-2022 ,Finlande : Ykku6nen,15:00, KPV, 3 - 2, MP
 18-04-2022 ,Finlande : Suomen Cup,15:00, Ilves III, 1 - 11, Inter Turku II
 18-04-2022 ,Finlande : U19 League,13:00, LoPa U20, 3 - 3, Pu6xyt U20
 18-04-2022 ,Finlande : Naiste Ykku6nen,17:00, Ilves II, 0 - 0, Sport-j
 18-04-2022 ,Gambie : GFA Championnat,23:00, Armed Forces, 0 - 0, Samger
 18-04-2022 ,Georgie : Umaglesi Liga,14:00, Sioni, 1 - 1, Torpedo Kutaisi
 18-04-2022 ,Georgie : Meore Liga,12:30, Aragvi Dusheti, 5 - 0, Zestafoni
 18-04-2022 ,Grece : Super League,17:00, PAS Giannina, 2 - 3, AEK Athenes
 18-04-2022 ,Guatemala : Ligue Nationale,01:00, Comunicaciones, 1 - 0, Santa Luc\u00eda
 18-04-2022 ,Hongrie : NB II,20:00, Szombathelyi Halad\u00e1s, 1 - 0, Diu3sgy\u0151r
 18-04-2022 ,\u00celes Feroe : Formuladeildin,16:00, K\u00cd, 3 - 0, 07 Vestur
 18-04-2022 ,\u00celes Feroe : 1 Deild,16:00, \u00cdF, 2 - 2, B71
 18-04-2022 ,\u00celes Feroe : 1 Deild feminine,13:15, B36, 2 - 0, NS\u00cd
 18-04-2022 ,\u00celes Vierges Britanniques : BVIFA Football League,00:15, One Love United, 4 - 3, One Caribbean
 18-04-2022 ,Inde : I League,11:30, Sreenidi Deccan, 0 - 0, Rajasthan United
 18-04-2022 ,Inde : Santhosh Trophy,12:30, Rajasthan, 2 - 3, Meghalaya
 18-04-2022 ,Iran : Azadegan League,17:30, Mes Shahr-e Babak, 2 - 1, Shahin Bushehr
 18-04-2022 ,Iran : Hazfi Cup,18:00, Aluminium Arak, 1 - 0, Khalij Fars
 18-04-2022 ,Irlande : Premier League,16:00, Shelbourne, 1 - 4, Bohemians
 18-04-2022 ,Irlande : Division 1,15:00, Waterford United, 1 - 2, Cork City
 18-04-2022 ,Irlande du Nord : Premiership Development League,20:00, Linfield U20, 0 - 3, Crusaders U20
 18-04-2022 ,Islande : League Cup Women C,16:00, \u00cdA, 2 - 3, Sindri
 18-04-2022 ,Islande : Super Coupe feminine,18:00, Valur*, 0 - 0, Breidablik
 18-04-2022 ,Israel : Ligat Al,19:00, Hapoel Tel Aviv FC, 2 - 0, Maccabi Netanya FC
 18-04-2022 ,Israel : Liga Leumit,19:30, Agudat Sport Ashdod, 3 - 1, Hapoel Kfar Saba FC
 18-04-2022 ,Israel : U19 Elite Division,10:00, Ironi Kiryat Shmona U19, 1 - 1, Beitar Jerusalem U19
 18-04-2022 ,Israel : Ligat Al Women,18:00, Maccabi Emek Hefer, 1 - 1, Hapoel Be'er Sheva
 18-04-2022 ,Jamaique : Premier League,00:15, Dunbeholden, 2 - 2, Waterhouse
 18-04-2022 ,Jordanie : Division 1,21:30, Sahab, 0 - 0, Al Faysali
 18-04-2022 ,Kazakhstan : Women's Football Championship,10:00, SDYuSShOR 17, 0 - 8, Okzhetpes
 18-04-2022 ,Kenya : Premier League,14:00, Ulinzi Stars, 0 - 1, Nairobi City Stars
 18-04-2022 ,Lettonie : Virsliga,14:00, Auda, 0 - 1, Riga FC
 18-04-2022 ,Liban : Division 1,14:30, Tadamon Sour, 0 - 4, Al Ahed
 18-04-2022 ,Lituanie : 1 Lyga,13:00, Babrungas, 1 - 1, Panev\u0117\u017eys II
 18-04-2022 ,Malawi : Super League,14:30, Silver Strikers, 1 - 1, Dedza Dynamos
 18-04-2022 ,Malte : Trophee FA,19:00, Gzira United, 0 - 1, Santa Lucia
 18-04-2022 ,Maroc : Division 1,00:00, Chabab Mohammedia, 2 - 0, Youssoufia Berrechid
 18-04-2022 ,Maroc : GNF II,00:00, Kawkab Marrakech, 4 - 1, Racing de Casablanca
 18-04-2022 ,Mexique : Liga TDP,05:00, London, 0 - 2, Gladiadores Tijuana
 18-04-2022 ,Mexique : Liga MX Femenil,02:00, Ju\u00e1rez, 2 - 1, Queretaro
 18-04-2022 ,Nigeria : Premier League,17:00, Rivers United, 2 - 0, Enyimba
 18-04-2022 ,Norvege : Tippeligaen,18:00, Aalesund, 2 - 2, Tromsu8
 18-04-2022 ,Norvege : Adeccoligaen,15:00, Fredrikstad, 1 - 0, Start
 18-04-2022 ,Norvege : 2 Divisjon,13:00, Frigg, 1 - 3, Ullensaker / Kisa
 18-04-2022 ,Norvege : 3. Division,14:00, Spjelkavik, 4 - 1, Floru8
 18-04-2022 ,Norvege : NM Cupen U19,19:00, Riska U19, 0 - 12, Vidar U19
 18-04-2022 ,Norvege : Kvinne Toppserien,15:00, Arna-Bju8rnar, 0 - 3, V\u00e5lerenga
 18-04-2022 ,Norvege : Kvinne 1. Divisjon,14:00, Medkila, 1 - 2, \u00d8vrevoll Hosle
 18-04-2022 ,Norvege : Kvinne NM Cupen,19:00, Runar, 2 - 0, Hu8ybr\u00e5ten / Stovner
 18-04-2022 ,Nouvelle-Zelande : Regional Leagues,04:00, Havelock North Wanderers, 1 - 1, Western Suburbs
 18-04-2022 ,Ouzbekistan : Coupe,15:15, Qizilqum, 0 - 0, Dinamo Samarqand
 18-04-2022 ,Panama : Primera Division,01:00, Herrera, null, Universitario
 18-04-2022 ,Panama : Liga Nacional de Ascenso,00:00, Sporting SM II, 0 - 1, UMECIT
 18-04-2022 ,Paraguay : Division Profesional,00:00, Cerro Porteu1o, 4 - 0, Libertad
 18-04-2022 ,Paraguay : Division Intermedia,21:00, 2 de Mayo, null, River Plate
 18-04-2022 ,Pays de Galles : Premier League,15:30, Caernarfon Town, 0 - 2, Bala Town
 18-04-2022 ,Pays de Galles : Feeder Leagues,13:00, Trefelin, 1 - 1, Goytre United
 18-04-2022 ,Perou : Primera Division,02:00, Melgar, 1 - 0, Cesar Vallejo
 18-04-2022 ,Pologne : Ekstraklasa,12:30, MKS Cracovia Cracovie, 1 - 0, Zaglebie Lubin SSA
 18-04-2022 ,Qatar : QFA Cup,21:00, Al Sailiya, 4 - 1, Al Wakrah
 18-04-2022 ,Republique Tcheque : 1ere ligue feminine,14:00, Slavia Praha, 4 - 0, Sparta Praha
 18-04-2022 ,Roumanie : Liga I,19:30, FC Rapid Bucarest, 8 - 0, Gaz Metan Medias
 18-04-2022 ,Roumanie : Liga II,16:30, Universitatea Cluj, 3 - 1, Concordia Chiajna
 18-04-2022 ,Russie : 2. Division,12:00, Chertanovo, 3 - 0, Luki-Energiya
 18-04-2022 ,Serbie : Prva Zenska Liga,13:00, Zvezda B 2018, 1 - 5, Vojvodina
 18-04-2022 ,Serbie : U19 League,14:00, Ma\u010dva \u0160abac U19, 1 - 0, Spartak Subotica U19
 18-04-2022 ,Slovaquie : Super Liga,14:00, Zlate Moravce, 1 - 1, Zempl\u00edn Michalovce
 18-04-2022 ,Slovenie : 1. SNL,17:30, N\u0160 Mura, 3 - 0, Aluminij
 18-04-2022 ,Slovenie : 2. SNL,17:00, ND Gorica, 1 - 0, Dekani
 18-04-2022 ,Soudan : Premier League,21:30, Al Hilal Omdurman, 3 - 1, Al Ahly Shendi
 18-04-2022 ,Suede : Superettan,13:00, Brommapojkarna, 2 - 2, Sku6vde AIK
 18-04-2022 ,Suede : Division 1,13:00, irebro Syrianska, 2 - 2, IF Karlstad
 18-04-2022 ,Suede : Division 2,14:00, Sifh\u00e4lla, 3 - 0, Herrestads
 18-04-2022 ,Suede : U19 League,15:30, ister U19, 4 - 3, T\u00e4by U19
 18-04-2022 ,Suede : Damallsvenskan,17:00, Kristianstad, 2 - 2, Eskilstuna United
 18-04-2022 ,Suede : Division 1 Dames,12:00, Gamla Upsala, 2 - 0, Team TG
 18-04-2022 ,Suisse : Super League,14:15, Lucerne, 3 - 2, Saint-Gall
 18-04-2022 ,Suisse : Challenge League,16:30, Yverdon Sport, 0 - 1, FC Schaffhausen
 18-04-2022 ,Syrie : 1ere Division,15:00, Jaish, 2 - 1, Efrin
 18-04-2022 ,Tanzanie : Ligi kuu Bara,15:00, Namungo, 3 - 1, Ruvu Shooting
 18-04-2022 ,Trinite-et-Tobago : Ascension Invitational Tournament - Division 1,23:00, Moruga, 0 - 2, Cunupia
 18-04-2022 ,Tunisie : Ligue 1,14:30, Metlaoui, 1 - 2, ES Tunis
 18-04-2022 ,Turks et Caicos : Football League,00:00, Blue Hills, null, Beaches
 18-04-2022 ,Uruguay : Primera Division,01:30, Rentistas, 1 - 3, Wanderers
 18-04-2022 ,Venezuela : Primera Division,00:15, Hermanos Colmen\u00e1rez, 2 - 1, Caracas
 18-04-2022 ,Vi\u00eat-Nam : Second Division,10:30, Lam Dong, 1 - 1, Kon Tum
 18-04-2022 ,Amerique du Nord : CONCACAF Caribbean Club Shield,02:00, Bayamu3n, 6 - 0, South East
 18-04-2022 ,Amerique du Sud : Sudamericano U20 Femenino,22:00, Venezuela U20, 1 - 2, Uruguay U20
 18-04-2022 ,Asie : AFC Champions League,11:00, Guangzhou FC, 0 - 8, Kawasaki Frontale
